Ticker,Month,Monthly Return
ADANIENT,2024-11,-0.2446177318189524
ADANIPORTS,2024-11,-0.1847748135398738
ASIANPAINT,2024-11,-0.15907274180655484
BRITANNIA,2024-11,-0.1483738944853813
NTPC,2024-11,-0.1115838094080468
